wikidata_id	country	capital	premise	hypothesis	label
Q672	Tuvalu	Funafuti	The capital of Tuvalu is Prague.	The capital of Tuvalu is Funafuti.	True
Q916	Angola	Muscat	The capital of Angola is Muscat.	The capital of Angola is Muscat.	False
Q916	Angola	Luanda	The capital of Angola is Muscat.	The capital of Angola is Luanda.	True
Q224	Croatia	Tehran	The capital of Croatia is Tehran.	The capital of Croatia is Tehran.	False
Q224	Croatia	Zagreb	The capital of Croatia is Tehran.	The capital of Croatia is Zagreb.	True
Q756617	Kingdom of Denmark	Ouagadougou	The capital of Kingdom of Denmark is Ouagadougou.	The capital of Kingdom of Denmark is Ouagadougou.	False
Q756617	Kingdom of Denmark	Copenhagen	The capital of Kingdom of Denmark is Ouagadougou.	The capital of Kingdom of Denmark is Copenhagen.	True
Q117	Ghana	Helsinki	The capital of Ghana is Helsinki.	The capital of Ghana is Helsinki.	False
Q117	Ghana	Accra	The capital of Ghana is Helsinki.	The capital of Ghana is Accra.	True
Q843	Pakistan	Freetown	The capital of Pakistan is Freetown.	The capital of Pakistan is Freetown.	False
Q843	Pakistan	Islamabad	The capital of Pakistan is Freetown.	The capital of Pakistan is Islamabad.	True
Q854	Sri Lanka	Valletta	The capital of Sri Lanka is Valletta.	The capital of Sri Lanka is Valletta.	False
Q854	Sri Lanka	Colombo	The capital of Sri Lanka is Valletta.	The capital of Sri Lanka is Colombo.	True
Q953	Zambia	Wellington	The capital of Zambia is Wellington.	The capital of Zambia is Wellington.	False
Q953	Zambia	Lusaka	The capital of Zambia is Wellington.	The capital of Zambia is Lusaka.	True
Q1041	Senegal	Islamabad	The capital of Senegal is Islamabad.	The capital of Senegal is Islamabad.	False
Q1041	Senegal	Dakar	The capital of Senegal is Islamabad.	The capital of Senegal is Dakar.	True
